year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,vote_share
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,659170,1182850,20210113,0.0,DEMOCRAT,0.8077930677220218
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,504070,1182850,20210113,0.0,REPUBLICAN,0.6177226688815322
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,9198,1182850,20210113,0.0,OTHER,0.011271873169147802
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,6669,1182850,20210113,0.0,OTHER,0.008172659509137497
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,1954,1182850,20210113,0.0,OTHER,0.002394568403187085
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,1481,1182850,20210113,0.0,LIBERTARIAN,0.0018149210875742438
1976,ALABAMA,AL,1,63,41,US PRESIDENT,0,0,True,308,1182850,20210113,0.0,OTHER,0.00037744476365487317
1976,ALASKA,AK,2,94,81,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,71555,123574,20210113,0.0,REPUBLICAN,0.08768850669910534
1976,ALASKA,AK,2,94,81,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,44058,123574,20210113,0.0,DEMOCRAT,0.05399175778281298
1976,ALASKA,AK,2,94,81,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,6785,123574,20210113,0.0,LIBERTARIAN,0.008314814030514008
1976,ALASKA,AK,2,94,81,US PRESIDENT,0,0,True,1176,123574,20210113,0.0,OTHER,0.0014411527339549702
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,418642,742719,20210113,0.0,REPUBLICAN,0.5130332167078032
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,295602,742719,20210113,0.0,DEMOCRAT,0.3622513864477526
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,19229,742719,20210113,0.0,OTHER,0.023564562858180375
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,7647,742719,20210113,0.0,LIBERTARIAN,0.009371169180742905
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,928,742719,20210113,0.0,OTHER,0.0011372361710120852
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,564,742719,20210113,0.0,OTHER,0.0006911650866926898
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,85,742719,20210113,0.0,OTHER,0.00010416495100865006
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,0,0,True,22,742719,20210113,0.0,OTHER,2.6960340261062364e-05
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,498604,767535,20210113,0.0,DEMOCRAT,0.61102424979667
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,267903,767535,20210113,0.0,REPUBLICAN,0.3283070925890632
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,0,INDEPENDENT,False,639,767535,20210113,0.0,OTHER,0.0007830753375826751
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,389,767535,20210113,0.0,OTHER,0.00047670783461605735
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,3882244,7803770,20210113,0.0,REPUBLICAN,4.757573600748537
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,3742284,7803770,20210113,0.0,DEMOCRAT,4.586056817887705
